学校-老师	课程名称	课程内容与评价,,,,,,
"9002-南京大学-姚媛	英汉互译方法与技巧	""概述：《英汉互译方法与技巧》注重分析，强调实践，分享主讲教师多年来翻译的文学作品、学术著作、文件材料等实例和经验，并通过全面细致的分析，展现翻译的过程和翻译技巧的综合、灵活运用，为学习者成为优秀的翻译人才打下坚实的基础。",,,,,,
评价：As a student who has been away from school for many years, English has been abandoned for a long time. I can only re-learn them for use. After attending this course," I began to pick up the memories of learning English. I also hope...""",,,,
"9003-复旦大学-李冉	习近平新时代中国特色社会主义思想概论	""概述：",,,,,,
"评价：我和老公都迷上了在慕课学习，涉猎学科非常广，哈哈哈哈哈，我搞医学科研，他是计算机行业的，我俩互相推荐好的课程，我学习 数学建模之类的培养数学思维，他学点解剖学了解我的行业，一起学文学鉴赏，道德经等等，共同进步，都不爱上网看那些娱乐视频了，用老公的话说，都是教授给我们上课，不比小鲜肉高档啊。慕课，一定要越办越好，希望将来有一天我也可以当教授，出个课程和热爱学习的人一起分享。""",,,,,,
"9005-哈尔滨工业大学-裴秋宇	沟通心理学	""概述：视角独特的“主持型”心理课，正能量的“烧脑”之旅。言语犀利，案例丰富，思维训练，实用性强，主讲人裴秋宇老师凝聚19年心理实战个案经历、15年世界五百强员工心理内训精华，与您共享一段学思体验之旅。",,,,,,
评价：我是一名教师，我觉得教师也应该学学心理学。有心理学支撑的教师，在自己的教学中更能够得心应手。尤其作为班主任,"能够懂一些心理学，在做学生工作的时候，也会收到很好的效果。""",,,,,
"9005-哈尔滨工业大学-车万翔	高级语言程序设计（Python）	""概述：“高级语言程序设计（Python）”课程面向无编程基础的学生，培养运用Python语言解决实际问题的编程能力。使学生掌握Python语言的基本语法、语句以及结构化程序设计的基本思想和方法，了解基本的算法和数据结构，培养良好的程序设计风格，为进一步学习其他专业课程和从事软件开发工作打下坚实的基础。",,,,,,
"评价：Python 2.7，内容陈旧。教学不思进取。""",,,,,,
"39001-湖南师范大学-黎大志	走近摄影	""概述：本课程由湖南师范大学师资领衔、聚湖南省高校摄影界力量，教学团队阵容强；倡导摄影理论指导拍摄实践，深入浅出，通俗易懂，针对性和指导性强；讲授内容覆盖面广，系统性和选择性强。可根据学习需要选择内容和考核要求，作为高等学校艺术类专业摄影必修课、通识教育选修课和摄影爱好者自修课开设。",,,,,,
"评价：考试通知考试内容时间太短，使得考试复习仓促。作业布置时间分布不合理，比较短，，作业批改同学凭技术准则不同，实得分差异大。但老师讲课内容有效""",,,,,,
"116001-福州大学-陈润华	孙子兵法鉴赏	""概述：有话说：“半部《论语》治天下，半部《孙子兵法》打江山”。《孙子兵法》鉴赏课程将带您走入谋略有道、制胜有道的智慧新天地！无论今天和未来，不懂《孙子兵法》，很难成为真正的军事家、战略家、管理家、企业家、外交家、成功者。谋略有道、发展有道；成才有道、成功有道。我们在这——等你来！",,,,,,
"评价：考试答案，作业答案频频出错，一个学期答疑区没有回复过任何一个同学的任何一个问题！作业发布时间和截止时间只有一天！并且没有提前通知时间！期末考试也是只有一天时间！这是网课，没有提醒的！！！难道要我们天天盯着么？没有提前通知没有公告，突然之间就开始了期末考试，一天后直接截止，这不是坑爹么！！！这种完全不负责任的老师，还全国精品课程？呵呵呵！MOOC对老师完全没有约束力，老师想怎么搞都行，学生根本没有投诉反馈渠道，我是真的佩服""",,,,,,
"20002-中央财经大学-李健	金融学（二）	""概述：本课程是金融专业统帅性基础理论课。教学资源丰富，教学理念先进，教学方法多元。采用宽口径的范畴，涵盖货币、信用、金融资产与价格、金融市场、金融机构、金融总量与均衡、调控与监管、金融发展等所有金融活动的集合。有利于认识金融原理，了解金融现状，掌握分析方法，培养解决金融问题的能力。",,,,,,
"评价：老师讲的很好，只是课件太旧了，这都2018年了，课件还是2013年的，尤其是金融方面的，国家日益进步，改善过快，所以请及时更新课件！ 测验结束后，能不能显示出题目的正确答案""",,,,,,
"9020-中国农业大学-吕春利	C语言程序设计——快速入门与提高	""概述：本课程本着以“计算思维”素养培养和“计算技术”应用能力提高为总目标，用案例教学法教C语言，一个编程案例一个台阶的学习C语言编程，每周你都能感觉到计算机运用能力的提升。本课程适合初学者，也适合想提高编程能力的学习者。",,,,,,
"评价：c语言的学习思路的三大步骤 1.模仿别人的代码看看别人 找出背后要处理的数据和对象 2. 修改其代码达到自己掌握该代码的思路 3. 自主使用代码在不同方面的数据应用""",,,,,,
"89001-金陵科技学院-廖望春	宝石加工工艺学	""概述：如果你对宝石一无所知，但对璀璨的琢型宝石非常感兴趣 如果你对琢型懵懵懂懂，但对琢型的款式与历史非常感兴趣 如果你对加工似懂非懂，但对宝石加工技术与方法非常感兴趣 如果你对行业一知半解，但对加工的工艺和价值评估非常感兴趣 那么请加入《宝石加工工艺学》课程，跟我一起认识宝石材料及其加工方法等有趣的内容，开启宝石设计制作之旅。 如果有可能你可以跟我一起磨制出一颗属于你的琢型宝石，并把这颗亲手加工出来的琢型宝石DIY成自己的专属订制首饰，这是不是很有趣呢？ 快来加入吧！",,,,,,
"评价：老师准备的很充分，资料很多呢，非常喜欢！""",,,,,,
"1001239004-郑州大学-王士祥	科举与唐诗	""概述：科举被誉为中国古代第五大发明，是中国贡献给西方最珍贵的知识礼物，诗歌是唐代具有标志性的文学样式，当二者相遇又会体现出什么样的魅力呢？《科举与唐诗》将带您穿越时空，与那些科举名人、诗坛大咖同喜同悲，在了解科举文化、唐诗艺术的同时，为我们的学习、生活带来一定的启示。",,,,,,
"评价：老师开始说的带不带spoc都可以，不影响最后成绩，但现在期末我们一部分同学的成绩没有录上，这学期的课程学分也没得到，课程群就已经被解散了，希望明年选修的同学不要和我们一样学了一年还没成绩，吸取一下教训吧(=_=)""",,,,,,
"8006-湖南大学-谭志凯	生物材料伴我行	""概述：当你花大价钱采购各种面膜和化妆品，你知道它们的成分吗？ 如果你有幸穿越到战国时代，怎样能让孙膑重新站起来？ 当我们在享受当代幸福的生活时，怎么才能更健康长寿？ ---- 本课程带你找寻答案，让你发现生活中的趣味材料学！",,,,,,
"评价：对于生物材料这门课，老师从我们生活中的各种生物材料入手，给我们讲述了现今各种生物材料的起源、发展的过程，让我们了解到各种不同的生物材料所具有的特殊的物理性质或者化学性质，以及在医学、在我们生活中的应用环境。老师讲解了生物材料的同时，也举出了很多个生物材料应用的例子，来加深我们对特殊生物材料的功能的印象。通过这门课，我感觉学到了很多，谢谢老师的教导。""",,,,,,
"8005-山东大学-李玉香	大学物理-电磁学和光学	""概述：山东大学《大学物理》被评为首批国家精品在线开放课程，欢迎来到课程团队精心打造的《大学物理MOOC》！本课程包括力学和热学、电磁学和光学、相对论和量子物理三大模块，教学体系完整丰富，课程讲解详实易懂，便于自主学习和移动学习！希望本课程能够帮助您去了解、去探索美妙神奇的物理世界！",,,,,,
